Ted	I do. But, more importantly, I think they need to believe in themselves.
Ted	I am the strong silent type, so I ain't gonna let you know. But I'm also loud and weak, because I, like all humans, contain multitudes.
Ted	I feel like I fell out of the lucky tree, hit every branch on the way down and landed in a pool full of cash and sour patch kids.
Ted	I look like Ned Flanders cosplaying Ned Flanders
Ted	I love meeting people's moms. It's like reading an instruction manual as to why they're nuts.
Ted	I've had more psychotic episodes than Twin Peaks
Ted	There's two buttons I never like to hit: that's panic and snooze.
Ted	You know what you do with tough cookies, don't ya? Dip 'em in milk.
Ted	You tore your butt, son. It happens.
Roy	Who cares? It's a friendly. A friendly is a pretend match. This is a pretend conversation.
Roy	I've just come down with a case of the none of your business.
Roy	That hurt my feeling.
Roy	You never talk about a streak.
Beard	Then it's working.
Beard	Shut your butts and sit your mouths down!
Rebecca	Crying is the best, isn't it? It's like an orgasm for the soul
Rebecca	Look, sometimes the truth can ruin a perfectly good story.
Rebecca	Oh, please. The Eiffel Tower is just a lamppost with a publicist.
Keeley	I never know how to react when a grown man beatboxes in front of me
Keeley	That's a complicated compliment.
Nate	I just don't really enjoy baths, just because my skin gets really wrinkly, and I'm deeply afraid of aging.
Nate	For some reason, whenever I'm trying to impress someone, I end up sounding like my gran.
Jamie	God bless me, every one
Jamie	Old people are so wise. They're like tall Yodas
Higgins	You should find out before you flip out
Higgins	I do believe in second chances, Ted.
Dr Sharon	Heavy is the head that wears the visor, Coach Lasso.
Dr Sharon	I can't be your mentor without occasionally being your tormentor.
Barbara	I like clothes that tell the truth.
Barbara	Flowers are for two things, Ms. Jones. Dead people and dead marriages.
Colin	Once I was out of my mum, I never looked back.
Dani	Just because they're dirty doesn't mean they don't deserve to have a friend.
Dani	I would like to see a tulip. Just one tulip. An entire field will be incredibly overwhelming.
Jan Maas	But luckily our spirits were already broken.
Sam	Jan Maas is not being rude, he's just being Dutch.
Jade	It's worthwhile to meet you.
Mae	Shit helps things grow, love.
Zava	If you put your energy into the things you truly love, the universe puts its thing back into you.
Trent	Shouting is Roy's love language.
Crowd	Jamie Tartt, doo-doo-doo-doo-doo-doo
Ted	Barbecue Sauce
Ted	Diamond Dogs, mount up. Let's go.
Dani	Football is life!
Roy	Whistle!
Trent	Trent Crimm, The Independent
Ted	Okay. Come on. Talk to me, geese.
Ted	High five, tree!
Ted	I forgot I'm left-handed
Nate	I said Wonderkind
Nate	I'd like the table by the window, please.
Nate	You here to kill me?
Nate	You remembered my name
Keeley	You're a mood. You're a moment. You're a mantra.
Keeley	You are the only Roy I know.
Roy	Oi! Tartt. Boot room. Now!
Roy	I hate what you've done to me
Roy	Shut up. Just shut up. You had me at Coach.
Roy	This isn't black, this is dark heather charcoal
Roy	Let's go find a windmill!
Beard	Release the hounds
Beard	Horticulture baby!
Beard	No sudden movements near the bus driver
Colin	It's way too much car for me.
Jamie	It's just poopy, let it flow
Phoebe	I made it at school. The colors spell your name. Red, orange, yellow.
Ted	I'm a visual learner so that's very helpful, thank you
Ted	We don't not care. We care very much. We care about who you are and what you must've been going through.
Trent	As a journalist I had to write that. But as someone who respects you, my source was Nate
